Key,File,Type,UsedInMainMenu,NoTranslate,schinese



buffCrouchingQuestOnName,buffs,Buff,,,【潜入电力】伪装值：
buffCrouchingQuestOnDesc,buffs,Buff,,,正在进行潜行任务，注意不要被发现！\n伪装值为0时，任务失败。\n\n伪装值：{cvar($CrouchingQuestOn:0)}



dialog_trader_response_jobshave,Quest,Dialogs,,,你有任务吗？
dialog_trader_response_jobshave_statement_1,Quest,Dialogs,,,自由任务承接【难度：★1】
dialog_trader_response_jobshave_statement_2,Quest,Dialogs,,,自由任务承接【难度：★2】
dialog_trader_response_jobshave_statement_3,Quest,Dialogs,,,自由任务承接【难度：★3】
dialog_trader_response_jobshave_statement_4,Quest,Dialogs,,,自由任务承接【难度：★4】
dialog_trader_response_jobshave_statement_5,Quest,Dialogs,,,自由任务承接【难度：★5】
dialog_trader_response_jobshave_statement_6,Quest,Dialogs,,,自由任务承接【难度：★6】
dialog_trader_response_jobshave_statement_7,Quest,Dialogs,,,自由任务承接【难度：★7】
dialog_trader_response_jobshave_statement_8,Quest,Dialogs,,,自由任务承接【难度：★8】
dialog_trader_response_jobshave_statement_9,Quest,Dialogs,,,自由任务承接【难度：★9】
dialog_trader_response_jobshave_statement_10,Quest,Dialogs,,,自由任务承接【难度：★10】
dialog_trader_response_jobshave_statement_11,Quest,Dialogs,,,自由任务承接【难度：★11】
dialog_trader_response_jobshave_statement_12,Quest,Dialogs,,,自由任务承接【难度：★12】
dialog_trader_response_jobshave_statement_13,Quest,Dialogs,,,自由任务承接【难度：★13】
dialog_trader_response_jobshave_statement_14,Quest,Dialogs,,,自由任务承接【难度：★14】
dialog_trader_response_jobshave_statement_15,Quest,Dialogs,,,自由任务承接【难度：★15】
dialog_trader_response_jobshave_statement_16,Quest,Dialogs,,,自由任务承接【难度：★16】
dialog_trader_response_jobshave_statement_17,Quest,Dialogs,,,自由任务承接【难度：★17】
dialog_trader_response_jobshave_statement_18,Quest,Dialogs,,,自由任务承接【难度：★18】
dialog_trader_response_emergencyjobshave,Quest,Dialogs,,,[FF0000]紧急任务[-]出现！



quest_crouching_restore_power_response,Quest,Quest Info,,,[00BFFF]潜入电力[-][DECEA3]{poi.name}[-]（[DECEA3]{poi.distance} {poi.direction}[-]）
quest_tier9_crouching_restore_power,Quest,Quest Info,,,[00BFFF]潜入电力[-]【难度：★9】
quest_tier10_crouching_restore_power,Quest,Quest Info,,,[00BFFF]潜入电力[-]【难度：★10】
quest_tier11_crouching_restore_power,Quest,Quest Info,,,[00BFFF]潜入电力[-]【难度：★11】
quest_tier12_crouching_restore_power,Quest,Quest Info,,,[00BFFF]潜入电力[-]【难度：★12】
quest_crouching_restore_power_subtitle,Quest,Quest Info,,,[00BFFF]潜入电力[-]
quest_crouching_restore_power_offer,Quest,Quest Info,,,我们有一处发电机[DECEA3]{poi.name}[-]被一些丧尸占领了，虽然它们数量不多，但是发现有人前去的话，肯定会将发电机破坏。所以，需要有人悄悄地潜入，将电力恢复，并清理掉那些丧尸。注意！！！一定不能过于惊扰丧尸。你平时办事很靠谱，这个事儿就交给你了。
quest_crouching_restore_power_description,Quest,Quest Info,,,我们有一处发电机[DECEA3]{poi.name}[-]被一些丧尸占领了，虽然它们数量不多，但是发现有人前去的话，肯定会将发电机破坏。所以，需要有人悄悄地潜入，将电力恢复，并清理掉那些丧尸。注意！！！一定不能过于惊扰丧尸。你平时办事很靠谱，这个事儿就交给你了。
