Key,File,Type,UsedInMainMenu,NoTranslate,schinese



perkDaringAdventurerRank4LongDesc,progression,perk Int,,,你现在是一名大胆的冒险家了！\n解锁更好的商人物品，并且获得的公爵币增加20%。



resourceIridescentCube,items,Resource,,,虹彩小晶块
resourceIridescentCubeDesc,items,Resource,,,炼金材料
resourceIridescentCubeSuper,items,Resource,,,虹彩大晶体
resourceIridescentCubeSuperDesc,items,Resource,,,高级炼金材料
resourceCrimsonGold,items,Resource,,,绯绯色金
resourceCrimsonGoldDesc,items,Resource,,,稀有炼金材料
resourceHexagonCube,items,Resource,,,五边形晶块
resourceHexagonCubeDesc,items,Resource,,,属性炼金材料



ammo9mmBulletSE,items,Ammo,,,9毫米炼金穿甲弹
ammo44MagnumBulletSE,items,Ammo,,,.44马格南炼金穿甲弹
ammo762mmBulletSE,items,Ammo,,,7.62毫米炼金穿甲弹
ammoShotgunSE,items,Ammo,,,霰弹炼金穿甲弹
ammoArrowSteelSE,items,Ammo,,,钢炼金穿甲箭
ammoCrossbowBoltSteelSE,items,Ammo,,,钢炼金穿甲弩箭

ammo762mmBulletSP,items,Ammo,,,7.62毫米炼金穿甲威力弹

ammoJunkTurretShellAP,items,Ammo,,,机器人霰弹炼金穿甲弹
ammoJunkTurretRegularShocked,items,Ammo,,,机器人炼金电击弹
ammoJunkTurretAPShocked,items,Ammo,,,机器人炼金穿甲电击弹

ammoSEGroupDesc,items,Ammo,,,炼金穿甲弹药，只有RANK7以上的炼金武器可以使用
ammoSPGroupDesc,items,Ammo,,,炼金穿甲威力弹药，只有RANK7以上的炼金猎枪可以使用
ammoJunkTurretGroupDesc,items,Ammo,,,机器人炼金弹药

thrownAmmoPipeBombIridescent,items,Ammo,,,虹彩管状炸弹（弹药）
thrownGrenadeContactIridescent,items,Ammo,,,虹彩触炸手雷（弹药）
thrownGrenadeIridescent,items,Ammo,,,虹彩手雷（弹药）
thrownDynamiteIridescent,items,Ammo,,,虹彩柱状炸药（弹药）
thrownGrenadeContactShockedIridescent,items,Ammo,,,虹彩触炸电击手雷（弹药）
thrownGrenadeShockedIridescent,items,Ammo,,,虹彩电击手雷（弹药）



resourceIridescentAlchemyTicketS1,items,Resource,,,钢之炼金票
resourceIridescentAlchemyTicketS1Desc,items,Resource,,,炼金材料
resourceIridescentAlchemyTicketS2,items,Resource,,,银之炼金票
resourceIridescentAlchemyTicketS2Desc,items,Resource,,,高级炼金材料
resourceIridescentAlchemyTicketS3,items,Resource,,,金之炼金票
resourceIridescentAlchemyTicketS3Desc,items,Resource,,,稀有炼金材料



resourceEggSteel,items,Resource,,,钢蛋
resourceEggSteelDesc,items,Resource,,,亮闪闪！！！但是好像没什么用处。
resourceEggSilver,items,Resource,,,银蛋
resourceEggSilverDesc,items,Resource,,,亮闪闪！！！但是好像没什么用处。
resourceEggGold,items,Resource,,,金蛋
resourceEggGoldDesc,items,Resource,,,亮闪闪！！！但是好像没什么用处。



marisaConsumablesInjector,items,Resource,,,注射器
marisaConsumablesInjectorDesc,items,Resource,,,使用它来提取自身的血液，来制成血袋。



BowWoodenS1,items,Gun,,,木弓[防卫者Ⅰ]
