Key,File,Type,UsedInMainMenu,NoTranslate,schinese



resourceIridescentCubeSuper,items,Resource,,,虹彩大晶体
resourceIridescentCubeSuperDesc,items,Resource,,,高级炼金材料



ModR8S3L1TurnBadLuckIntoABlessing,item_modifiers,mod,,,虹彩晶板[转祸为福Ⅰ]
ModR8S3L1TurnBadLuckIntoABlessingDesc,item_modifiers,mod,,,[BA55D3]RANK 11\n\n[FFFFFF]解除异常状态后一段时间内基础实体伤害提升\n\n[FF66B2]可分解为虹彩大晶体



perkMarisaTurnBadLuckIntoABlessingName,progression,perk Per,,,转祸为福
perkMarisaTurnBadLuckIntoABlessingDesc,progression,perk Per,,,解除异常状态后一段时间内基础实体伤害提升
perkMarisaTurnBadLuckIntoABlessingRank1Desc,progression,perk Per,,,转祸为福Ⅰ
perkMarisaTurnBadLuckIntoABlessingRank1LongDesc,progression,perk Per,,,技能生效时\n基础实体伤害提升5
perkMarisaTurnBadLuckIntoABlessingRank2Desc,progression,perk Per,,,转祸为福Ⅱ
perkMarisaTurnBadLuckIntoABlessingRank2LongDesc,progression,perk Per,,,技能生效时\n基础实体伤害提升10
perkMarisaTurnBadLuckIntoABlessingRank3Desc,progression,perk Per,,,转祸为福Ⅲ
perkMarisaTurnBadLuckIntoABlessingRank3LongDesc,progression,perk Per,,,技能生效时\n基础实体伤害提升15



buffPerkMarisaTurnBadLuckIntoABlessingName,buffs,Buff,,,转祸为福
buffPerkMarisaTurnBadLuckIntoABlessingDesc,buffs,Buff,,,基础实体伤害提升5
buffPerkMarisaTurnBadLuckIntoABlessing2Name,buffs,Buff,,,转祸为福
buffPerkMarisaTurnBadLuckIntoABlessing2Desc,buffs,Buff,,,基础实体伤害提升10
buffPerkMarisaTurnBadLuckIntoABlessing3Name,buffs,Buff,,,转祸为福
buffPerkMarisaTurnBadLuckIntoABlessing3Desc,buffs,Buff,,,基础实体伤害提升15




perkEntityDamageUpName,progression,perk Per,,,耳塞
perkEntityDamageUpDesc,progression,perk Per,,,提升对尖叫丧尸咆哮的耐性
perkEntityDamageUpRank1Desc,progression,perk Per,,,耳塞Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,不再受到咆哮【小】的影响
perkEntityDamageUpRank2Desc,progression,perk Per,,,耳塞Ⅱ
perkEntityDamageUpRank2LongDesc,progression,perk Per,,,不再受到咆哮【小】的影响\n咆哮【中】的影响减轻为咆哮【小】
perkEntityDamageUpRank3Desc,progression,perk Per,,,耳塞Ⅲ
perkEntityDamageUpRank3LongDesc,progression,perk Per,,,不再受到咆哮【小】、咆哮【中】的影响
perkEntityDamageUpRank4Desc,progression,perk Per,,,耳塞Ⅳ
perkEntityDamageUpRank4LongDesc,progression,perk Per,,,不再受到咆哮【小】、咆哮【中】的影响\n咆哮【大】的影响减轻为咆哮【中】
perkEntityDamageUpRank5Desc,progression,perk Per,,,耳塞Ⅴ
perkEntityDamageUpRank5LongDesc,progression,perk Per,,,不再受到咆哮【小】、咆哮【中】、咆哮【大】的影响




perkEntityDamageUpName,progression,perk Per,,,电击攻击强化
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：附魔类技能
