Key,File,Type,UsedInMainMenu,NoTranslate,schinese



resourceIridescentCube,items,Resource,,,虹彩小晶块
resourceIridescentCubeDesc,items,Resource,,,炼金材料



resourceZombieArleneRottingFleshT1,items,Resource,,,阿琳的腐肉
resourceZombieArleneRottingFleshT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸阿琳身上获取的腐肉
resourceZombieArleneBoneT1,items,Resource,,,阿琳的硬骨
resourceZombieArleneBoneT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸阿琳身上获取的硬骨
resourceZombieArleneLeatherT1,items,Resource,,,阿琳的韧皮
resourceZombieArleneLeatherT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸阿琳身上获取的韧皮
resourceZombieArleneScaleT1,items,Resource,,,阿琳的鳞片
resourceZombieArleneScaleT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸阿琳身上获取的鳞片
resourceZombieArleneExtractT1,items,Resource,,,阿琳的提取素
resourceZombieArleneExtractT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸阿琳身上获取的提取素
resourceZombieMarleneRottingFleshT1,items,Resource,,,马琳的腐肉
resourceZombieMarleneRottingFleshT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸马琳身上获取的腐肉
resourceZombieMarleneBoneT1,items,Resource,,,马琳的硬骨
resourceZombieMarleneBoneT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸马琳身上获取的硬骨
resourceZombieMarleneLeatherT1,items,Resource,,,马琳的韧皮
resourceZombieMarleneLeatherT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸马琳身上获取的韧皮
resourceZombieMarleneScaleT1,items,Resource,,,马琳的鳞片
resourceZombieMarleneScaleT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸马琳身上获取的鳞片
resourceZombieMarleneExtractT1,items,Resource,,,马琳的提取素
resourceZombieMarleneExtractT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸马琳身上获取的提取素
resourceZombiePartyGirlRottingFleshT1,items,Resource,,,派对女孩的腐肉
resourceZombiePartyGirlRottingFleshT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸派对女孩身上获取的腐肉
resourceZombiePartyGirlBoneT1,items,Resource,,,派对女孩的硬骨
resourceZombiePartyGirlBoneT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸派对女孩身上获取的硬骨
resourceZombiePartyGirlLeatherT1,items,Resource,,,派对女孩的韧皮
resourceZombiePartyGirlLeatherT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸派对女孩身上获取的韧皮
resourceZombiePartyGirlScaleT1,items,Resource,,,派对女孩的鳞片
resourceZombiePartyGirlScaleT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸派对女孩身上获取的鳞片
resourceZombiePartyGirlExtractT1,items,Resource,,,派对女孩的提取素
resourceZombiePartyGirlExtractT1Desc,items,Resource,,,[999498]RANK 1[-]\n\n从丧尸派对女孩身上获取的提取素
resourceZombieNurseRottingFleshT1,items,Resource,,,护士的腐肉
