Key,File,Type,UsedInMainMenu,NoTranslate,english,schinese
resourceIridescentCube,items,Resource,,,IridescentCube,虹彩结晶
resourceIridescentCubeDesc,items,Resource,,,Special materials for making,特殊的制作材料
marisaWeaponT1RandomBundleNormal,items,Special,,,IridescentWeaponRandomBundleNormalT1,虹彩武器T1普通随机包
marisaWeaponT1RandomBundleNormalDesc,items,Special,,,IridescentWeaponRandomBundleNormalT1,虹彩武器T1普通随机包
marisaWeaponT1RandomBundleSuperior,items,Special,,,IridescentWeaponRandomBundleSuperiorT1,虹彩武器T1稀有随机包
marisaWeaponT1RandomBundleSuperiorDesc,items,Special,,,IridescentWeaponRandomBundleSuperiorT1,虹彩武器T1稀有随机包
marisaWeaponT1RandomBundleEpic,items,Special,,,IridescentWeaponRandomBundleEpicT1,虹彩武器T1史诗随机包
marisaWeaponT1RandomBundleEpicDesc,items,Special,,,IridescentWeaponRandomBundleEpicT1,虹彩武器T1史诗随机包
marisaWeaponT2RandomBundleNormal,items,Special,,,IridescentWeaponRandomBundleNormalT2,虹彩武器T2普通随机包
marisaWeaponT2RandomBundleNormalDesc,items,Special,,,IridescentWeaponRandomBundleNormalT2,虹彩武器T2普通随机包
marisaWeaponT2RandomBundleSuperior,items,Special,,,IridescentWeaponRandomBundleSuperiorT2,虹彩武器T2稀有随机包
marisaWeaponT2RandomBundleSuperiorDesc,items,Special,,,IridescentWeaponRandomBundleSuperiorT2,虹彩武器T2稀有随机包
marisaWeaponT2RandomBundleEpic,items,Special,,,IridescentWeaponRandomBundleEpicT2,虹彩武器T2史诗随机包
marisaWeaponT2RandomBundleEpicDesc,items,Special,,,IridescentWeaponRandomBundleEpicT2,虹彩武器T2史诗随机包
marisaWeaponT3RandomBundleNormal,items,Special,,,IridescentWeaponRandomBundleNormalT3,虹彩武器T3普通随机包
marisaWeaponT3RandomBundleNormalDesc,items,Special,,,IridescentWeaponRandomBundleNormalT3,虹彩武器T3普通随机包
marisaWeaponT3RandomBundleSuperior,items,Special,,,IridescentWeaponRandomBundleSuperiorT3,虹彩武器T3稀有随机包
marisaWeaponT3RandomBundleSuperiorDesc,items,Special,,,IridescentWeaponRandomBundleSuperiorT3,虹彩武器T3稀有随机包
marisaWeaponT3RandomBundleEpic,items,Special,,,IridescentWeaponRandomBundleEpicT3,虹彩武器T3史诗随机包
marisaWeaponT3RandomBundleEpicDesc,items,Special,,,IridescentWeaponRandomBundleEpicT3,虹彩武器T3史诗随机包
marisaWeaponT4RandomBundleNormal,items,Special,,,IridescentWeaponRandomBundleNormalT4,虹彩武器T4普通随机包
marisaWeaponT4RandomBundleNormalDesc,items,Special,,,IridescentWeaponRandomBundleNormalT4,虹彩武器T4普通随机包
marisaWeaponT4RandomBundleSuperior,items,Special,,,IridescentWeaponRandomBundleSuperiorT4,虹彩武器T4稀有随机包
marisaWeaponT4RandomBundleSuperiorDesc,items,Special,,,IridescentWeaponRandomBundleSuperiorT4,虹彩武器T4稀有随机包
marisaWeaponT4RandomBundleEpic,items,Special,,,IridescentWeaponRandomBundleEpicT4,虹彩武器T4史诗随机包
marisaWeaponT4RandomBundleEpicDesc,items,Special,,,IridescentWeaponRandomBundleEpicT4,虹彩武器T4史诗随机包
marisaArmorT3TreasureHunterCreateBundleNormal,items,Special,,,IridescentArmorTreasureHunterCreateBundleNormalT3,虹彩护甲T3宝藏猎人普通组合包
marisaArmorT3TreasureHunterCreateBundleNormalDesc,items,Special,,,IridescentArmorTreasureHunterCreateBundleNormalT3,虹彩护甲T3宝藏猎人普通组合包
marisaArmorT3TreasureHunterCreateBundleSuperior,items,Special,,,IridescentArmorTreasureHunterCreateBundleSuperiorT3,虹彩护甲T3宝藏猎人稀有组合包
marisaArmorT3TreasureHunterCreateBundleSuperiorDesc,items,Special,,,IridescentArmorTreasureHunterCreateBundleSuperiorT3,虹彩护甲T3宝藏猎人稀有组合包
marisaArmorT3TreasureHunterCreateBundleEpic,items,Special,,,IridescentArmorTreasureHunterCreateBundleEpicT3,虹彩护甲T3宝藏猎人史诗组合包
marisaArmorT3TreasureHunterCreateBundleEpicDesc,items,Special,,,IridescentArmorTreasureHunterCreateBundleEpicT3,虹彩护甲T3宝藏猎人史诗组合包
marisaArmorT3BerserkerCreateBundleNormal,items,Special,,,IridescentArmorBerserkerCreateBundleNormalT3,虹彩护甲T3狂战士普通组合包
marisaArmorT3BerserkerCreateBundleNormalDesc,items,Special,,,IridescentArmorBerserkerCreateBundleNormalT3,虹彩护甲T3狂战士普通组合包
marisaArmorT3BerserkerCreateBundleSuperior,items,Special,,,IridescentArmorBerserkerCreateBundleSuperiorT3,虹彩护甲T3狂战士稀有组合包
marisaArmorT3BerserkerCreateBundleSuperiorDesc,items,Special,,,IridescentArmorBerserkerCreateBundleSuperiorT3,虹彩护甲T3狂战士稀有组合包
marisaArmorT3BerserkerCreateBundleEpic,items,Special,,,IridescentArmorBerserkerCreateBundleEpicT3,虹彩护甲T3狂战士史诗组合包
marisaArmorT3BerserkerCreateBundleEpicDesc,items,Special,,,IridescentArmorBerserkerCreateBundleEpicT3,虹彩护甲T3狂战士史诗组合包
marisaArmorT3DarkKnightCreateBundleNormal,items,Special,,,IridescentArmorDarkKnightCreateBundleNormalT3,虹彩护甲T3暗黑骑士普通组合包
marisaArmorT3DarkKnightCreateBundleNormalDesc,items,Special,,,IridescentArmorDarkKnightCreateBundleNormalT3,虹彩护甲T3暗黑骑士普通组合包
marisaArmorT3DarkKnightCreateBundleSuperior,items,Special,,,IridescentArmorDarkKnightCreateBundleSuperiorT3,虹彩护甲T3暗黑骑士稀有组合包
marisaArmorT3DarkKnightCreateBundleSuperiorDesc,items,Special,,,IridescentArmorDarkKnightCreateBundleSuperiorT3,虹彩护甲T3暗黑骑士稀有组合包
marisaArmorT3DarkKnightCreateBundleEpic,items,Special,,,IridescentArmorDarkKnightCreateBundleEpicT3,虹彩护甲T3暗黑骑士史诗组合包
marisaArmorT3DarkKnightCreateBundleEpicDesc,items,Special,,,IridescentArmorDarkKnightCreateBundleEpicT3,虹彩护甲T3暗黑骑士史诗组合包
marisaArmorT3AssassinatorCreateBundleNormal,items,Special,,,IridescentArmorAssassinatorCreateBundleNormalT3,虹彩护甲T3暗杀者普通组合包
marisaArmorT3AssassinatorCreateBundleNormalDesc,items,Special,,,IridescentArmorAssassinatorCreateBundleNormalT3,虹彩护甲T3暗杀者普通组合包
marisaArmorT3AssassinatorCreateBundleSuperior,items,Special,,,IridescentArmorAssassinatorCreateBundleSuperiorT3,虹彩护甲T3暗杀者稀有组合包
marisaArmorT3AssassinatorCreateBundleSuperiorDesc,items,Special,,,IridescentArmorAssassinatorCreateBundleSuperiorT3,虹彩护甲T3暗杀者稀有组合包
marisaArmorT3AssassinatorCreateBundleEpic,items,Special,,,IridescentArmorAssassinatorCreateBundleEpicT3,虹彩护甲T3暗杀者史诗组合包
marisaArmorT3AssassinatorCreateBundleEpicDesc,items,Special,,,IridescentArmorAssassinatorCreateBundleEpicT3,虹彩护甲T3暗杀者史诗组合包
marisaArmorT2MechanicCreateBundleNormal,items,Special,,,IridescentArmorMechanicCreateBundleNormalT3,虹彩护甲T3机械师普通组合包
marisaArmorT2MechanicCreateBundleNormalDesc,items,Special,,,IridescentArmorMechanicCreateBundleNormalT2,虹彩护甲T2机械师普通组合包
marisaArmorT2MechanicCreateBundleSuperior,items,Special,,,IridescentArmorMechanicCreateBundleSuperiorT2,虹彩护甲T2机械师稀有组合包
marisaArmorT2MechanicCreateBundleSuperiorDesc,items,Special,,,IridescentArmorMechanicCreateBundleSuperiorT2,虹彩护甲T2机械师稀有组合包
marisaArmorT2MechanicCreateBundleEpic,items,Special,,,IridescentArmorMechanicCreateBundleEpicT2,虹彩护甲T2机械师史诗组合包
marisaArmorT2MechanicCreateBundleEpicDesc,items,Special,,,IridescentArmorMechanicCreateBundleEpicT2,虹彩护甲T2机械师史诗组合包
marisaModT1RandomBundle,items,Special,,,MarisaModRandomBundleT1,虹彩模组T1随机包
marisaModT1RandomBundleDesc,items,Special,,,MarisaModRandomBundleT1,虹彩模组T1随机包
marisaModT2RandomBundle,items,Special,,,MarisaModRandomBundleT2,虹彩模组T2随机包
marisaModT2RandomBundleDesc,items,Special,,,MarisaModRandomBundleT2,虹彩模组T2随机包
marisaModT3RandomBundle,items,Special,,,MarisaModRandomBundleT3,虹彩模组T3随机包
marisaModT3RandomBundleDesc,items,Special,,,MarisaModRandomBundleT3,虹彩模组T3随机包
marisaModT4RandomBundle,items,Special,,,MarisaModRandomBundleT4,虹彩模组T4随机包
marisaModT4RandomBundleDesc,items,Special,,,MarisaModRandomBundleT4,虹彩模组T4随机包
T2ToolNailGunS1,items,Tool,,,NailGun[StoneBreaker],钉枪[破石者]
T2ToolNailGunS1Desc,items,Tool,,,It can carry out excavation operations \n\nScrap to IridescentCube,它可以进行挖掘作业 \n\n可分解为虹彩结晶
T3ToolNailGunS2,items,Tool,,,NailGun[excavator],钉枪[开凿者]
T3ToolNailGunS2Desc,items,Tool,,,It can carry out excavation operations \n\nScrap to IridescentCube,它可以进行挖掘作业 \n\n可分解为虹彩结晶
T4ToolNailGunS3,items,Tool,,,NailGun[wrecker],钉枪[清障者]
T4ToolNailGunS3Desc,items,Tool,,,It can carry out excavation operations \n\nScrap to IridescentCube,它可以进行挖掘作业 \n\n可分解为虹彩结晶
T1CandyKnifeS1,items,Melee,,,CandyKnife[Eat],拐杖糖刀[吃]
T1CandyKnifeS1Desc,items,Melee,,,You can take a bite when you hit an entity or block \n\nScrap to IridescentCube,命中实体或方块时可以吃一口 \n\n可分解为虹彩结晶
T2CandyKnifeS2,items,Melee,,,CandyKnife[Eat Eat],拐杖糖刀[吃吃]
T2CandyKnifeS2Desc,items,Melee,,,You can take a bite when you hit an entity or block \n\nScrap to IridescentCube,命中实体或方块时可以吃一口 \n\n可分解为虹彩结晶
T3CandyKnifeS3,items,Melee,,,CandyKnife[Eat Eat Eat],拐杖糖刀[吃吃吃]
T3CandyKnifeS3Desc,items,Melee,,,You can take a bite when you hit an entity or block \n\nScrap to IridescentCube,命中实体或方块时可以吃一口 \n\n可分解为虹彩结晶
T4CandyKnifeS4,items,Melee,,,CandyKnife[Eat Eat Eat Eat],拐杖糖刀[吃吃吃吃]
T4CandyKnifeS4Desc,items,Melee,,,You can take a bite when you hit an entity or block \n\nScrap to IridescentCube,命中实体或方块时可以吃一口 \n\n可分解为虹彩结晶
T1IronSledgehammerS1,items,Melee,,,IronSledgehammer[vibration],大铁锤[振荡]
T1IronSledgehammerS1Desc,items,Melee,,,The more health you have the more damage your weapon does\nDeal 40% of your health damage near the target\nUp to 120 \n\nScrap to IridescentCube,自身生命值越多武器伤害越高\n对目标附近造成自身生命值40%的伤害\n最高120 \n\n可分解为虹彩结晶
T2IronSledgehammerS2,items,Melee,,,IronSledgehammer[crack],大铁锤[裂地]
T2IronSledgehammerS2Desc,items,Melee,,,The more health you have the more damage your weapon does\nDeal 60% of your health damage near the target\nUp to 180 \n\nScrap to IridescentCube,自身生命值越多武器伤害越高\n对目标附近造成自身生命值60%的伤害\n最高180 \n\n可分解为虹彩结晶
T3SteelSledgehammerS1,items,Melee,,,SteelSledgehammer[Ruins],大钢锤[断壁残垣]
T3SteelSledgehammerS1Desc,items,Melee,,,The more health you have the more damage your weapon does\nDeal 80% of your health damage near the target\nUp to 240 \n\nScrap to IridescentCube,自身生命值越多武器伤害越高\n对目标附近造成自身生命值80%的伤害\n最高240 \n\n可分解为虹彩结晶
T4SteelSledgehammerS2,items,Melee,,,SteelSledgehammer[Mountains fall and the earth splits],大钢锤[巨灵怒劈太华来]
T4SteelSledgehammerS2Desc,items,Melee,,,The more health you have the more damage your weapon does\nDeal 100% of your health damage near the target\nUp to 300 \n\nScrap to IridescentCube,自身生命值越多武器伤害越高\n对目标附近造成自身生命值100%的伤害\n最高300 \n\n可分解为虹彩结晶
T1BowWoodenS1,items,Gun,,,WoodenBow[hurricane],木弓[飓风]
T1BowWoodenS1Desc,items,Gun,,,2 arrows per \n\nScrap to IridescentCube,每次射出2支箭 \n\n可分解为虹彩结晶
T2BowWoodenS2,items,Gun,,,WoodenBow[RainOfArrows],木弓[箭雨]
T2BowWoodenS2Desc,items,Gun,,,3 arrows per \n\nScrap to IridescentCube,每次射出3支箭 \n\n可分解为虹彩结晶
T3BowCompoundS1,items,Gun,,,CompoundBow[hurricane],复合弓[万箭齐发]
T3BowCompoundS1Desc,items,Gun,,,4 arrows per \n\nScrap to IridescentCube,每次射出4支箭 \n\n可分解为虹彩结晶
T4BowCompoundS2,items,Gun,,,CompoundBow[RainOfArrows],复合弓[长弓挟射雁]
