Key,english,schinese

animalZombieBunnyPLUS,Bad Bunny,[00FFFF]恶兔
animalZombieSnakePLUS,Slithering Mutant Snake,[00FFFF]变异蛇
animalZombieChickenPLUS,Battle Chicken,[00FFFF]真·ikun
animalBossZombieGracePLUS,Gory Grace,[DC143C]BOSS [00FFFF]血腥格雷斯
animalZombieLargePlasmaVulturePLUS,Large Zombie Plasma Vulture,[00FFFF]雷霆秃鹫
animalPaindeerPLUS,Paindeer,[00FFFF]一袋米要抗几鹿
zombieSpiderFeralBomberPLUS,Spider Drone Pipe Bomber,[00FFFF]蜘蛛轰炸机
zombieSpiderFeralGliderPLUS,Spider Glider Fire Starter,[00FFFF]蜘蛛滑翔机
zombieM60DemolitionPLUS,M60 Demolition,[00FFFF]机枪爆破手
zombieSMGArlenePLUS,SMG Arlene,[00FFFF]冲锋枪阿琳
zombieTARifleSoldierPLUS,Tactical Assault Rifle Soldier,[00FFFF]突击兵
zombieBatonHazmatPLUS,Stun Baton Hazmat,[00FFFF]电棍防化服僵尸
zombieSteelAxeLumberjackPLUS,Steel Axe Lumberjack,[00FFFF]钢斧伐木工
zombieMachetePartyGirlPLUS,Machete Party Girl,[00FFFF]弯刀派对女孩
zombiePistolBusinessManPLUS,Pistol Business Man,[00FFFF]手枪商人
zombieNailgunUtilityWorkerPLUS,Nailgun Utility Worker,[00FFFF]钉枪工人
zombieSniperBoePLUS,Sniper Boe,[00FFFF]狙击手布尔
zombieChainsawMoePLUS,Chainsaw Moe,[00FFFF]电锯莫伊
zombieDesertVultureTomClarkPLUS,Desert Vulture Tom Clark,[00FFFF]沙鹰汤姆
zombiePumpShotgunBikerPLUS,Pump Shotgun Biker,[00FFFF]霰弹摩托车手
zombieBatonFatCopPLUS,Baton Fat Cop,[00FFFF]警棍军肥
zombieSteelClubFemaleFatPLUS,Steel Club Momma,[00FFFF]钢棍肥婆
zombieBoltNursePLUS,Bolt Nurse,[00FFFF]弩箭护士
zombieSteelSledgehammerFatHawaiianPLUS,Sledgehammer Tourist,[00FFFF]大锤游客
zombieWightRadiationShowerPLUS,Radiation Shower Wight,[00FFFF]强辐射怀特
zombieBogeymanPLUS,Radiation Shower Bogeyman,[00FFFF]辐射散播者
zombieCrispyPLUS,Wood Stove Walker,[00FFFF]火炉行者
zombieRocketPLUS,Fragger,[00FFFF]火炮手
zombieRocketRadiatedPLUS,Boss Fragger,[DC143C]BOSS [00FFFF]轰炸之王
zombieScorcherPLUS,Scorcher,[00FFFF]纵火者
zombieScorcherRadiatedPLUS,Boss Scorcher,[DC143C]BOSS [00FFFF]火焰魔王
