Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,schinese
buffZBSAttedBleedingName,buffs,Buff,,,Mild Bleeding,,轻度出血
buffZBSAttedBiteName,buffs,Buff,,,Bite,,撕咬
buffZBSAttedBiteDesc,buffs,Buff,,,Your movement speed and physicial resistance will decrease as you are hit. So it is wise to break them off as soon as possible. \nTriggered by hostile animals with [008C32]Wild Arousal[-] attached to.,,你的移速与物抗将随着受击不断减少，尽早挣脱掉才是明智之举。\n由附着[008C32]野性觉醒[-]的敌对动物触发。
buffZBSAttedBiteTooltip,buffs,Buff,,,[DC0000]Sharp teeth pierce through your skin and flesh.,,[DC0000]尖齿贯穿了你的皮肉
buffZBSAttedCystisName,buffs,Buff,,,Cystis,,囊肿
buffZBSAttedCystisDesc,buffs,Buff,,,Your movement speed and attack speed are slowed down. Your stamina recovery is reduced. And feel the loss of food in the stomach.\nTriggered by fat bodied zombies attached to [008C32]Regenerate[-].,,你的移速攻速减缓，体力恢复降低，并感到食物在胃中流失。\n由附着[008C32]再生[-]的胖体型丧尸触发。
buffZBSAttedCystisTooltip,buffs,Buff,,,[008C32]You feel Heavy Dizzy and Nauseous.,,[008C32]你感到身体沉重，头晕恶心
buffZBSAttedInfectionSpreadName,buffs,Buff,,,Infection Spread,,感染扩散
buffZBSAttedInfectionSpreadDesc,buffs,Buff,,,Your movement speed slows down. Your health and stamina recover. And you often feel hungry. \nTriggered by zombies attached to [FF8C32]Regenerate[-].,,你对debuff的抗性降低，并根据你现在的状态给予负面效果。\n当被感染时，感染程度越深损失越多生命值，生命体力恢复和物理抗性降低；当处于疲劳状态时，体力恢复大幅降低；当处于擦伤/深度裂伤时，生命恢复减弱并持续损失生命。\n由附着[FF8C32]感染扩散[-]的实验室丧尸触发。
buffZBSAttedInfectionSpreadTooltip,buffs,Buff,,,[FF8C32]The injury on your body is starting to worsen. The infection is constantly eroding.,,[FF8C32]你身上的伤患处开始恶化，感染不断侵蚀
